20,146,220,400
20,293,220,400
20,440,220,400
420,155,620,400
420,311,620,400
420,466,620,400
620,164,820,400
620,329,820,400
620,493,820,400
820,207,1020,400
820,415,1020,400
820,622,1020,400
1020,195,1220,400
1020,391,1220,400
1020,587,1220,400
1220,207,1420,400
1220,415,1420,400
1220,622,1420,400
1420,207,1620,400
1420,415,1620,400
1420,622,1620,400
2820,195,3020,400
2820,391,3020,400
2820,587,3020,400
3020,184,3220,400
3020,369,3220,400
3020,554,3220,400
3220,184,3420,400
3220,369,3420,400
3220,554,3420,400
3620,164,3820,400
3620,329,3820,400
3620,493,3820,400
3820,155,4020,400
3820,311,4020,400
3820,466,4020,400
4020,155,4220,400
4020,311,4220,400
4020,466,4220,400
4220,146,4420,400
4220,293,4420,400
4220,440,4420,400
4420,155,4620,400
4420,311,4620,400
4420,466,4620,400
4620,155,4820,400
4620,311,4820,400
4620,466,4820,400
4820,146,5020,400
4820,293,5020,400
4820,440,5020,400
5820,123,6020,400
5820,246,6020,400
5820,369,6020,400
6020,130,6220,400
6020,261,6220,400
6020,391,6220,400
6420,155,6620,400
6420,311,6620,400
6420,466,6620,400
6620,164,6820,400
6620,329,6820,400
6620,493,6820,400
6820,174,7020,400
6820,349,7020,400
6820,523,7020,400
7020,184,7220,400
7020,369,7220,400
7020,554,7220,400
7220,184,7420,400
7220,369,7420,400
7220,554,7420,400
7420,184,7620,400
7420,369,7620,400
7420,554,7620,400
9220,146,9420,400
9220,293,9420,400
9220,440,9420,400
9620,174,9820,400
9620,349,9820,400
9620,523,9820,400
9820,146,10020,400
9820,293,10020,400
9820,440,10020,400
10020,164,10220,400
10020,329,10220,400
10020,493,10220,400
10220,138,10420,400
10220,277,10420,400
10220,415,10420,400
10420,130,10620,400
10420,261,10620,400
10420,391,10620,400
10620,130,10820,400
10620,261,10820,400
10620,391,10820,400
11220,110,11420,400
11220,220,11420,400
11220,329,11420,400
11420,110,11620,400
11420,220,11620,400
11420,329,11620,400
11620,110,11820,400
11620,220,11820,400
11620,329,11820,400
11820,110,12020,400
11820,220,12020,400
11820,329,12020,400
12020,103,12220,400
12020,207,12220,400
12020,311,12220,400
12620,130,12820,400
12620,261,12820,400
12620,391,12820,400
12820,146,13020,400
12820,293,13020,400
12820,440,13020,400
13020,138,13220,400
13020,277,13220,400
13020,440,13220,400
13220,164,13420,400
13220,329,13420,400
13220,493,13420,400
13420,155,13620,400
13420,311,13620,400
13420,466,13620,400
13620,174,13820,400
13620,349,13820,400
13620,523,13820,400
13820,174,14020,400
13820,349,14020,400
13820,523,14020,400
14020,174,14220,400
14020,349,14220,400
14020,523,14220,400
14220,164,14420,400
14220,329,14420,400
14220,493,14420,400
15820,155,16020,400
15820,311,16020,400
15820,466,16020,400
16020,155,16220,400
16020,311,16220,400
16020,466,16220,400
16220,146,16420,400
16220,293,16420,400
16220,440,16420,400
16620,116,16820,400
16620,233,16820,400
16620,349,16820,400
16820,123,17020,400
16820,246,17020,400
16820,369,17020,400
17020,116,17220,400
17020,233,17220,400
17020,349,17220,400
17220,116,17420,400
17220,233,17420,400
17220,349,17420,400
17420,116,17620,400
17420,233,17620,400
17420,349,17620,400
17620,110,17820,400
17620,220,17820,400
17620,329,17820,400
